ts_epoch,ts_iso,pkg_mC,core0_mC,core1_mC,core2_mC,core3_mC,core3_throttle,pkg_throttle,cpu3_freq_khz,no_turbo,gov_cpu3
1785198056,2026-07-28T00:20:56Z,38000,37000,38000,37000,NA,0,0,3600000,1,performance
1785199528,2026-07-28T00:45:28Z,48000,46000,48000,44000,NA,0,0,3600000,1,performance
1785201315,2026-07-28T01:15:15Z,39000,38000,39000,36000,NA,0,0,3600000,1,performance
1785202788,2026-07-28T01:39:48Z,50000,49000,49000,48000,NA,0,0,3600000,1,performance
1785204476,2026-07-28T02:07:56Z,41000,41000,41000,40000,NA,0,0,3600000,1,performance
1785205950,2026-07-28T02:32:30Z,52000,50000,51000,48000,NA,0,0,3600000,1,performance
1785207657,2026-07-28T03:00:57Z,45000,40000,44000,40000,NA,0,0,3600000,1,performance
1785209131,2026-07-28T03:25:31Z,52000,51000,52000,49000,NA,0,0,3600000,1,performance
1785210972,2026-07-28T03:56:12Z,48000,44000,48000,42000,NA,0,0,3600000,1,performance
1785212425,2026-07-28T04:20:25Z,51000,52000,51000,50000,NA,0,0,3600000,1,performance
1785214485,2026-07-28T04:54:45Z,45000,43000,45000,41000,NA,0,0,3600000,1,performance
1785215960,2026-07-28T05:19:20Z,53000,51000,53000,50000,NA,0,0,3600000,1,performance
1785217165,2026-07-28T05:39:25Z,45000,44000,45000,42000,NA,0,0,3600000,1,performance
1785218652,2026-07-28T06:04:12Z,53000,51000,54000,50000,NA,0,0,3600000,1,performance
1785219927,2026-07-28T06:25:27Z,45000,43000,45000,42000,NA,0,0,3600000,1,performance
1785221430,2026-07-28T06:50:30Z,52000,52000,52000,50000,NA,0,0,3600000,1,performance
1785223104,2026-07-28T07:18:24Z,47000,44000,46000,42000,NA,0,0,3600000,1,performance
1785224581,2026-07-28T07:43:01Z,52000,51000,52000,51000,NA,0,0,3600000,1,performance
1785226053,2026-07-28T08:07:33Z,46000,45000,45000,42000,NA,0,0,3600000,1,performance
1785227525,2026-07-28T08:32:05Z,55000,51000,53000,50000,NA,0,0,3600000,1,performance
1785229405,2026-07-28T09:03:25Z,45000,41000,44000,40000,NA,0,0,3600000,1,performance
1785230877,2026-07-28T09:27:57Z,54000,50000,53000,51000,NA,0,0,3600000,1,performance
1785233014,2026-07-28T10:03:34Z,44000,42000,45000,41000,NA,0,0,3600000,1,performance
1785234487,2026-07-28T10:28:07Z,52000,51000,53000,50000,NA,0,0,3600000,1,performance
1785237053,2026-07-28T11:10:53Z,46000,43000,45000,41000,NA,0,0,3600000,1,performance
1785238532,2026-07-28T11:35:32Z,54000,51000,54000,51000,NA,0,0,3600000,1,performance
1785240880,2026-07-28T12:14:40Z,39000,38000,40000,37000,NA,0,0,3600000,1,performance
1785242409,2026-07-28T12:40:09Z,47000,47000,46000,46000,NA,0,0,3600000,1,performance
1785244685,2026-07-28T13:18:05Z,40000,38000,40000,38000,NA,0,0,3600000,1,performance
1785246193,2026-07-28T13:43:13Z,48000,47000,47000,46000,NA,0,0,3600000,1,performance
1785248246,2026-07-28T14:17:26Z,38000,38000,38000,37000,NA,0,0,3600000,1,performance
1785249711,2026-07-28T14:41:51Z,49000,46000,48000,46000,NA,0,0,3600000,1,performance
1785251284,2026-07-28T15:08:04Z,38000,38000,38000,36000,NA,0,0,3600000,1,performance
1785252762,2026-07-28T15:32:42Z,46000,46000,47000,43000,NA,0,0,3600000,1,performance
1785254236,2026-07-28T15:57:16Z,39000,38000,40000,36000,NA,0,0,3600000,1,performance
1785255715,2026-07-28T16:21:55Z,49000,46000,48000,45000,NA,0,0,3600000,1,performance
1785257123,2026-07-28T16:45:23Z,45000,42000,45000,39000,NA,0,0,3600000,1,performance
1785258630,2026-07-28T17:10:30Z,49000,46000,49000,47000,NA,0,0,3600000,1,performance
1785260360,2026-07-28T17:39:20Z,39000,38000,39000,38000,NA,0,0,3600000,1,performance
1785261865,2026-07-28T18:04:25Z,47000,46000,46000,45000,NA,0,0,3600000,1,performance
1785264259,2026-07-28T18:44:19Z,41000,37000,40000,37000,NA,0,0,3600000,1,performance
1785281016,2026-07-28T23:23:36Z,50000,50000,50000,48000,NA,0,0,3600000,1,performance
