ts_epoch,ts_iso,pkg_mC,core0_mC,core1_mC,core2_mC,core3_mC,core3_throttle,pkg_throttle,cpu3_freq_khz,no_turbo,gov_cpu3
1786149890,2026-08-08T00:44:50Z,50000,47000,50000,46000,NA,0,0,3600000,1,performance
1786149891,2026-08-08T00:44:51Z,52000,50000,51000,51000,NA,0,0,3600000,1,performance
1786149891,2026-08-08T00:44:51Z,52000,50000,51000,51000,NA,0,0,3600000,1,performance
1786149904,2026-08-08T00:45:04Z,54000,50000,54000,49000,NA,0,0,3600000,1,performance
1786150236,2026-08-08T00:50:36Z,53000,51000,52000,51000,NA,0,0,3600000,1,performance
1786150238,2026-08-08T00:50:38Z,53000,53000,52000,48000,NA,0,0,3600000,1,performance
1786150238,2026-08-08T00:50:38Z,53000,53000,52000,48000,NA,0,0,3600000,1,performance
1786150242,2026-08-08T00:50:42Z,51000,50000,52000,50000,NA,0,0,3600000,1,performance
1786150258,2026-08-08T00:50:58Z,55000,51000,55000,51000,NA,0,0,3600000,1,performance
1786150260,2026-08-08T00:51:00Z,55000,51000,55000,49000,NA,0,0,3600000,1,performance
1786150268,2026-08-08T00:51:08Z,52000,48000,51000,52000,NA,0,0,3600000,1,performance
1786150269,2026-08-08T00:51:09Z,52000,48000,51000,52000,NA,0,0,3600000,1,performance
1786150269,2026-08-08T00:51:09Z,53000,50000,52000,51000,NA,0,0,3600000,1,performance
1786150271,2026-08-08T00:51:11Z,53000,51000,54000,50000,NA,0,0,3600000,1,performance
1786150464,2026-08-08T00:54:24Z,56000,53000,56000,51000,NA,0,0,3600000,1,performance
1786150466,2026-08-08T00:54:26Z,55000,55000,55000,51000,NA,0,0,3600000,1,performance
1786150466,2026-08-08T00:54:26Z,55000,55000,55000,51000,NA,0,0,3600000,1,performance
1786150470,2026-08-08T00:54:30Z,57000,55000,57000,53000,NA,0,0,3600000,1,performance
1786150473,2026-08-08T00:54:33Z,57000,55000,56000,54000,NA,0,0,3600000,1,performance
1786150475,2026-08-08T00:54:35Z,57000,55000,57000,55000,NA,0,0,3600000,1,performance
1786150475,2026-08-08T00:54:35Z,57000,55000,57000,55000,NA,0,0,3600000,1,performance
1786150480,2026-08-08T00:54:40Z,58000,57000,58000,56000,NA,0,0,3600000,1,performance
1786150487,2026-08-08T00:54:47Z,58000,56000,57000,54000,NA,0,0,3600000,1,performance
1786150489,2026-08-08T00:54:49Z,57000,56000,59000,56000,NA,0,0,3600000,1,performance
1786150497,2026-08-08T00:54:57Z,55000,52000,55000,49000,NA,0,0,3600000,1,performance
1786150498,2026-08-08T00:54:58Z,55000,52000,55000,49000,NA,0,0,3600000,1,performance
1786150499,2026-08-08T00:54:59Z,52000,52000,54000,50000,NA,0,0,3600000,1,performance
1786150500,2026-08-08T00:55:00Z,52000,52000,54000,50000,NA,0,0,3600000,1,performance
1786150500,2026-08-08T00:55:00Z,52000,52000,54000,50000,NA,0,0,3600000,1,performance
1786150505,2026-08-08T00:55:05Z,54000,51000,54000,49000,NA,0,0,3600000,1,performance
1786150506,2026-08-08T00:55:06Z,52000,48000,52000,49000,NA,0,0,3600000,1,performance
1786150506,2026-08-08T00:55:06Z,52000,48000,52000,49000,NA,0,0,3600000,1,performance
1786150507,2026-08-08T00:55:07Z,52000,48000,52000,49000,NA,0,0,3600000,1,performance
1786150513,2026-08-08T00:55:13Z,55000,53000,56000,54000,NA,0,0,3600000,1,performance
1786150754,2026-08-08T00:59:14Z,51000,47000,52000,47000,NA,0,0,3600000,1,performance
1786150756,2026-08-08T00:59:16Z,51000,48000,51000,48000,NA,0,0,3600000,1,performance
1786150756,2026-08-08T00:59:16Z,51000,48000,51000,48000,NA,0,0,3600000,1,performance
1786150760,2026-08-08T00:59:20Z,51000,49000,51000,47000,NA,0,0,3600000,1,performance
1786150760,2026-08-08T00:59:20Z,51000,49000,51000,47000,NA,0,0,3600000,1,performance
1786150761,2026-08-08T00:59:21Z,48000,47000,49000,48000,NA,0,0,3600000,1,performance
1786150776,2026-08-08T00:59:36Z,50000,48000,50000,47000,NA,0,0,3600000,1,performance
1786150778,2026-08-08T00:59:38Z,48000,47000,50000,47000,NA,0,0,3600000,1,performance
1786150785,2026-08-08T00:59:45Z,50000,49000,51000,48000,NA,0,0,3600000,1,performance
1786150787,2026-08-08T00:59:47Z,48000,47000,48000,46000,NA,0,0,3600000,1,performance
1786150791,2026-08-08T00:59:51Z,48000,48000,50000,47000,NA,0,0,3600000,1,performance
1786150794,2026-08-08T00:59:54Z,47000,46000,46000,45000,NA,0,0,3600000,1,performance
1786150829,2026-08-08T01:00:29Z,52000,50000,52000,52000,NA,0,0,3600000,1,performance
1786150831,2026-08-08T01:00:31Z,55000,50000,55000,49000,NA,0,0,3600000,1,performance
1786150831,2026-08-08T01:00:31Z,55000,50000,55000,49000,NA,0,0,3600000,1,performance
1786150835,2026-08-08T01:00:35Z,51000,52000,51000,49000,NA,0,0,3600000,1,performance
1786150854,2026-08-08T01:00:54Z,54000,53000,52000,54000,NA,0,0,3600000,1,performance
1786150857,2026-08-08T01:00:57Z,55000,50000,55000,50000,NA,0,0,3600000,1,performance
1786150865,2026-08-08T01:01:05Z,50000,48000,49000,47000,NA,0,0,3600000,1,performance
1786150866,2026-08-08T01:01:06Z,50000,48000,49000,47000,NA,0,0,3600000,1,performance
1786150866,2026-08-08T01:01:06Z,55000,51000,55000,49000,NA,0,0,3600000,1,performance
1786150872,2026-08-08T01:01:12Z,53000,54000,52000,50000,NA,0,0,3600000,1,performance
1786150909,2026-08-08T01:01:49Z,52000,52000,51000,48000,NA,0,0,3600000,1,performance
1786150911,2026-08-08T01:01:51Z,53000,51000,54000,49000,NA,0,0,3600000,1,performance
1786150913,2026-08-08T01:01:53Z,51000,49000,52000,47000,NA,0,0,3600000,1,performance
1786150914,2026-08-08T01:01:54Z,50000,49000,51000,48000,NA,0,0,3600000,1,performance
1786150914,2026-08-08T01:01:54Z,50000,49000,51000,48000,NA,0,0,3600000,1,performance
1786150915,2026-08-08T01:01:55Z,50000,49000,51000,48000,NA,0,0,3600000,1,performance
1786151115,2026-08-08T01:05:15Z,50000,47000,52000,46000,NA,0,0,3600000,1,performance
1786151117,2026-08-08T01:05:17Z,51000,48000,50000,47000,NA,0,0,3600000,1,performance
1786151117,2026-08-08T01:05:17Z,51000,48000,50000,47000,NA,0,0,3600000,1,performance
1786151121,2026-08-08T01:05:21Z,49000,49000,49000,48000,NA,0,0,3600000,1,performance
1786151140,2026-08-08T01:05:40Z,50000,50000,51000,48000,NA,0,0,3600000,1,performance
1786151141,2026-08-08T01:05:41Z,52000,50000,51000,48000,NA,0,0,3600000,1,performance
1786151148,2026-08-08T01:05:48Z,55000,54000,51000,48000,NA,0,0,3600000,1,performance
1786151148,2026-08-08T01:05:48Z,55000,54000,51000,48000,NA,0,0,3600000,1,performance
1786151149,2026-08-08T01:05:49Z,49000,48000,49000,46000,NA,0,0,3600000,1,performance
1786151154,2026-08-08T01:05:54Z,50000,49000,51000,49000,NA,0,0,3600000,1,performance
1786151463,2026-08-08T01:11:03Z,52000,51000,51000,48000,NA,0,0,3600000,1,performance
1786151475,2026-08-08T01:11:15Z,52000,49000,51000,50000,NA,0,0,3600000,1,performance
1786151475,2026-08-08T01:11:15Z,52000,49000,51000,50000,NA,0,0,3600000,1,performance
1786151526,2026-08-08T01:12:06Z,54000,51000,53000,50000,NA,0,0,3600000,1,performance
1786152051,2026-08-08T01:20:51Z,50000,48000,49000,47000,NA,0,0,3600000,1,performance
1786152055,2026-08-08T01:20:55Z,52000,50000,51000,48000,NA,0,0,3600000,1,performance
