ts_epoch,ts_iso,pkg_mC,core0_mC,core1_mC,core2_mC,core3_mC,core3_throttle,pkg_throttle,cpu3_freq_khz,no_turbo,gov_cpu3
1781191044,2026-06-11T15:17:24Z,56000,56000,54000,51000,52000,0,0,4099050,0,schedutil
1781191545,2026-06-11T15:25:45Z,45000,45000,45000,42000,42000,0,0,3600004,1,performance
1781191545,2026-06-11T15:25:45Z,45000,45000,45000,42000,42000,0,0,3600608,1,performance
1781211196,2026-06-11T20:53:16Z,50000,48000,50000,46000,48000,0,0,3600015,1,performance
1781211199,2026-06-11T20:53:19Z,51000,49000,52000,48000,47000,0,0,3600014,1,performance
1781211925,2026-06-11T21:05:25Z,52000,50000,52000,48000,48000,0,0,3600032,1,performance
1781211930,2026-06-11T21:05:30Z,54000,50000,52000,49000,54000,0,0,3600031,1,performance
1781211930,2026-06-11T21:05:30Z,54000,50000,52000,49000,54000,0,0,3599985,1,performance
1781211934,2026-06-11T21:05:34Z,51000,51000,50000,50000,49000,0,0,3599921,1,performance
