ts_epoch,ts_iso,pkg_mC,core0_mC,core1_mC,core2_mC,core3_mC,core3_throttle,pkg_throttle,cpu3_freq_khz,no_turbo,gov_cpu3
1784853953,2026-07-24T00:45:53Z,55000,53000,53000,56000,NA,0,0,3600000,1,performance
1784854816,2026-07-24T01:00:16Z,50000,45000,51000,41000,NA,0,0,3600000,1,performance
1784856215,2026-07-24T01:23:35Z,41000,40000,40000,39000,NA,0,0,3600000,1,performance
1784857749,2026-07-24T01:49:09Z,49000,48000,49000,47000,NA,0,0,3600000,1,performance
1784862238,2026-07-24T03:03:58Z,40000,39000,40000,37000,NA,0,0,3600000,1,performance
1784863755,2026-07-24T03:29:15Z,55000,52000,55000,52000,NA,0,0,3600000,1,performance
1784866091,2026-07-24T04:08:11Z,43000,40000,43000,39000,NA,0,0,3600000,1,performance
1784868132,2026-07-24T04:42:12Z,53000,51000,52000,49000,NA,0,0,3600000,1,performance
1784869666,2026-07-24T05:07:46Z,43000,43000,45000,41000,NA,0,0,3600000,1,performance
1784871195,2026-07-24T05:33:15Z,49000,48000,49000,47000,NA,0,0,3600000,1,performance
1784873148,2026-07-24T06:05:48Z,41000,41000,40000,39000,NA,0,0,3600000,1,performance
1784874675,2026-07-24T06:31:15Z,49000,49000,50000,48000,NA,0,0,3600000,1,performance
1784876629,2026-07-24T07:03:49Z,42000,41000,41000,37000,NA,0,0,3600000,1,performance
1784878169,2026-07-24T07:29:29Z,50000,47000,50000,47000,NA,0,0,3600000,1,performance
1784880155,2026-07-24T08:02:35Z,42000,42000,42000,38000,NA,0,0,3600000,1,performance
1784881689,2026-07-24T08:28:09Z,49000,48000,49000,46000,NA,0,0,3600000,1,performance
1784883906,2026-07-24T09:05:06Z,41000,39000,42000,38000,NA,0,0,3600000,1,performance
1784885468,2026-07-24T09:31:08Z,48000,46000,49000,47000,NA,0,0,3600000,1,performance
1784887904,2026-07-24T10:11:44Z,41000,40000,43000,38000,NA,0,0,3600000,1,performance
1784889410,2026-07-24T10:36:50Z,50000,46000,50000,46000,NA,0,0,3600000,1,performance
1784892839,2026-07-24T11:33:59Z,43000,40000,44000,40000,NA,0,0,3600000,1,performance
1784894348,2026-07-24T11:59:08Z,46000,46000,46000,45000,NA,0,0,3600000,1,performance
1784896541,2026-07-24T12:35:41Z,40000,39000,41000,39000,NA,0,0,3600000,1,performance
1784898050,2026-07-24T13:00:50Z,48000,46000,48000,45000,NA,0,0,3600000,1,performance
1784900188,2026-07-24T13:36:28Z,41000,38000,42000,36000,NA,0,0,3600000,1,performance
1784901715,2026-07-24T14:01:55Z,49000,47000,48000,46000,NA,0,0,3600000,1,performance
1784901716,2026-07-24T14:01:56Z,49000,47000,48000,46000,NA,0,0,3600000,1,performance
1784903355,2026-07-24T14:29:15Z,48000,46000,49000,46000,NA,0,0,3600000,1,performance
1784904887,2026-07-24T14:54:47Z,39000,37000,39000,36000,NA,0,0,3600000,1,performance
1784906408,2026-07-24T15:20:08Z,48000,47000,47000,46000,NA,0,0,3600000,1,performance
1784907898,2026-07-24T15:44:58Z,39000,37000,40000,37000,NA,0,0,3600000,1,performance
1784909426,2026-07-24T16:10:26Z,48000,47000,48000,47000,NA,0,0,3600000,1,performance
1784909734,2026-07-24T16:15:34Z,36000,35000,36000,36000,NA,0,0,3600000,1,performance
1784911229,2026-07-24T16:40:29Z,44000,42000,45000,41000,NA,0,0,3600000,1,performance
1784914036,2026-07-24T17:27:16Z,52000,49000,51000,48000,NA,0,0,3600000,1,performance
1784915534,2026-07-24T17:52:14Z,52000,51000,50000,48000,NA,0,0,3600000,1,performance
1784918282,2026-07-24T18:38:02Z,50000,50000,50000,50000,NA,0,0,3600000,1,performance
1784919881,2026-07-24T19:04:41Z,44000,44000,46000,41000,NA,0,0,3600000,1,performance
1784921380,2026-07-24T19:29:40Z,52000,52000,52000,51000,NA,0,0,3600000,1,performance
1784923488,2026-07-24T20:04:48Z,40000,39000,42000,37000,NA,0,0,3600000,1,performance
1784924982,2026-07-24T20:29:42Z,46000,45000,46000,44000,NA,0,0,3600000,1,performance
1784926937,2026-07-24T21:02:17Z,39000,38000,39000,38000,NA,0,0,3600000,1,performance
1784928406,2026-07-24T21:26:46Z,47000,47000,46000,44000,NA,0,0,3600000,1,performance
1784930435,2026-07-24T22:00:35Z,38000,37000,37000,36000,NA,0,0,3600000,1,performance
1784931904,2026-07-24T22:25:04Z,47000,47000,47000,45000,NA,0,0,3600000,1,performance
1784934894,2026-07-24T23:14:54Z,38000,38000,38000,37000,NA,0,0,3600000,1,performance
1784936373,2026-07-24T23:39:33Z,49000,46000,49000,45000,NA,0,0,3600000,1,performance
