ts_epoch,ts_iso,pkg_mC,core0_mC,core1_mC,core2_mC,core3_mC,core3_throttle,pkg_throttle,cpu3_freq_khz,no_turbo,gov_cpu3
1785110756,2026-07-27T00:05:56Z,46000,46000,46000,45000,NA,0,0,3600000,1,performance
1785112646,2026-07-27T00:37:26Z,40000,37000,40000,37000,NA,0,0,3600000,1,performance
1785114136,2026-07-27T01:02:16Z,48000,46000,48000,44000,NA,0,0,3600000,1,performance
1785116211,2026-07-27T01:36:51Z,41000,38000,40000,36000,NA,0,0,3600000,1,performance
1785117684,2026-07-27T02:01:24Z,47000,47000,47000,45000,NA,0,0,3600000,1,performance
1785120021,2026-07-27T02:40:21Z,39000,38000,39000,36000,NA,0,0,3600000,1,performance
1785121495,2026-07-27T03:04:55Z,47000,47000,46000,46000,NA,0,0,3600000,1,performance
1785123226,2026-07-27T03:33:46Z,38000,36000,38000,36000,NA,0,0,3600000,1,performance
1785124703,2026-07-27T03:58:23Z,47000,47000,46000,46000,NA,0,0,3600000,1,performance
1785126993,2026-07-27T04:36:33Z,40000,40000,40000,38000,NA,0,0,3600000,1,performance
1785128470,2026-07-27T05:01:10Z,48000,46000,49000,46000,NA,0,0,3600000,1,performance
1785130857,2026-07-27T05:40:57Z,40000,39000,41000,38000,NA,0,0,3600000,1,performance
1785132333,2026-07-27T06:05:33Z,47000,46000,47000,46000,NA,0,0,3600000,1,performance
1785134793,2026-07-27T06:46:33Z,40000,38000,40000,36000,NA,0,0,3600000,1,performance
1785136266,2026-07-27T07:11:06Z,48000,48000,46000,45000,NA,0,0,3600000,1,performance
1785137803,2026-07-27T07:36:43Z,38000,37000,38000,36000,NA,0,0,3600000,1,performance
1785139278,2026-07-27T08:01:18Z,49000,47000,49000,45000,NA,0,0,3600000,1,performance
1785140885,2026-07-27T08:28:05Z,39000,37000,39000,36000,NA,0,0,3600000,1,performance
1785142359,2026-07-27T08:52:39Z,47000,46000,47000,45000,NA,0,0,3600000,1,performance
1785144086,2026-07-27T09:21:26Z,38000,36000,39000,35000,NA,0,0,3600000,1,performance
1785145562,2026-07-27T09:46:02Z,47000,47000,47000,44000,NA,0,0,3600000,1,performance
1785147222,2026-07-27T10:13:42Z,37000,37000,37000,35000,NA,0,0,3600000,1,performance
1785148696,2026-07-27T10:38:16Z,46000,46000,46000,45000,NA,0,0,3600000,1,performance
1785150361,2026-07-27T11:06:01Z,39000,38000,40000,36000,NA,0,0,3600000,1,performance
1785151836,2026-07-27T11:30:36Z,47000,46000,49000,46000,NA,0,0,3600000,1,performance
1785153380,2026-07-27T11:56:20Z,40000,38000,41000,37000,NA,0,0,3600000,1,performance
1785154855,2026-07-27T12:20:55Z,50000,49000,51000,48000,NA,0,0,3600000,1,performance
1785156449,2026-07-27T12:47:29Z,41000,41000,42000,39000,NA,0,0,3600000,1,performance
1785157923,2026-07-27T13:12:03Z,51000,49000,52000,50000,NA,0,0,3600000,1,performance
1785160076,2026-07-27T13:47:56Z,38000,38000,38000,37000,NA,0,0,3600000,1,performance
1785161550,2026-07-27T14:12:30Z,48000,46000,48000,45000,NA,0,0,3600000,1,performance
1785163474,2026-07-27T14:44:34Z,37000,37000,39000,37000,NA,0,0,3600000,1,performance
1785164947,2026-07-27T15:09:07Z,47000,47000,47000,45000,NA,0,0,3600000,1,performance
1785166665,2026-07-27T15:37:45Z,37000,36000,37000,34000,NA,0,0,3600000,1,performance
1785168139,2026-07-27T16:02:19Z,48000,46000,48000,45000,NA,0,0,3600000,1,performance
1785169892,2026-07-27T16:31:32Z,38000,37000,38000,35000,NA,0,0,3600000,1,performance
1785171365,2026-07-27T16:56:05Z,47000,46000,47000,43000,NA,0,0,3600000,1,performance
1785173191,2026-07-27T17:26:31Z,40000,37000,39000,35000,NA,0,0,3600000,1,performance
1785180778,2026-07-27T19:32:58Z,50000,48000,49000,47000,NA,0,0,3600000,1,performance
1785181902,2026-07-27T19:51:42Z,43000,40000,43000,39000,NA,0,0,3600000,1,performance
1785183974,2026-07-27T20:26:14Z,48000,47000,48000,46000,NA,0,0,3600000,1,performance
1785185549,2026-07-27T20:52:29Z,40000,37000,39000,36000,NA,0,0,3600000,1,performance
1785187021,2026-07-27T21:17:01Z,48000,46000,48000,44000,NA,0,0,3600000,1,performance
1785188651,2026-07-27T21:44:11Z,37000,37000,38000,36000,NA,0,0,3600000,1,performance
1785190124,2026-07-27T22:08:44Z,47000,45000,46000,45000,NA,0,0,3600000,1,performance
1785191910,2026-07-27T22:38:30Z,40000,37000,39000,36000,NA,0,0,3600000,1,performance
1785193382,2026-07-27T23:03:02Z,49000,47000,50000,46000,NA,0,0,3600000,1,performance
1785194958,2026-07-27T23:29:18Z,39000,37000,39000,37000,NA,0,0,3600000,1,performance
1785196431,2026-07-27T23:53:51Z,47000,46000,48000,45000,NA,0,0,3600000,1,performance
