ts_epoch,ts_iso,pkg_mC,core0_mC,core1_mC,core2_mC,core3_mC,core3_throttle,pkg_throttle,cpu3_freq_khz,no_turbo,gov_cpu3
1784506653,2026-07-20T00:17:33Z,49000,48000,49000,46000,NA,0,0,3600000,1,performance
1784508276,2026-07-20T00:44:36Z,40000,39000,40000,38000,NA,0,0,3600000,1,performance
1784509791,2026-07-20T01:09:51Z,49000,48000,48000,47000,NA,0,0,3600000,1,performance
1784512089,2026-07-20T01:48:09Z,40000,40000,40000,38000,NA,0,0,3600000,1,performance
1784513633,2026-07-20T02:13:53Z,48000,47000,48000,46000,NA,0,0,3600000,1,performance
1784515305,2026-07-20T02:41:45Z,45000,41000,44000,40000,NA,0,0,3600000,1,performance
1784516899,2026-07-20T03:08:19Z,50000,47000,49000,46000,NA,0,0,3600000,1,performance
1784519151,2026-07-20T03:45:51Z,43000,40000,43000,39000,NA,0,0,3600000,1,performance
1784520646,2026-07-20T04:10:46Z,50000,48000,50000,46000,NA,0,0,3600000,1,performance
1784522147,2026-07-20T04:35:47Z,43000,43000,44000,40000,NA,0,0,3600000,1,performance
1784523711,2026-07-20T05:01:51Z,51000,47000,51000,47000,NA,0,0,3600000,1,performance
1784525548,2026-07-20T05:32:28Z,44000,41000,44000,41000,NA,0,0,3600000,1,performance
1784527192,2026-07-20T05:59:52Z,50000,49000,51000,49000,NA,0,0,3600000,1,performance
1784529295,2026-07-20T06:34:55Z,39000,38000,40000,38000,NA,0,0,3600000,1,performance
1784530806,2026-07-20T07:00:06Z,51000,47000,50000,47000,NA,0,0,3600000,1,performance
1784533183,2026-07-20T07:39:43Z,39000,39000,40000,38000,NA,0,0,3600000,1,performance
1784534711,2026-07-20T08:05:11Z,51000,49000,52000,48000,NA,0,0,3600000,1,performance
1784536861,2026-07-20T08:41:01Z,42000,41000,43000,39000,NA,0,0,3600000,1,performance
1784538392,2026-07-20T09:06:32Z,51000,49000,50000,46000,NA,0,0,3600000,1,performance
1784540969,2026-07-20T09:49:29Z,41000,40000,41000,39000,NA,0,0,3600000,1,performance
1784542481,2026-07-20T10:14:41Z,52000,48000,50000,46000,NA,0,0,3600000,1,performance
1784544838,2026-07-20T10:53:58Z,41000,39000,41000,38000,NA,0,0,3600000,1,performance
1784546350,2026-07-20T11:19:10Z,48000,47000,48000,46000,NA,0,0,3600000,1,performance
1784547954,2026-07-20T11:45:54Z,39000,39000,39000,38000,NA,0,0,3600000,1,performance
1784549477,2026-07-20T12:11:17Z,48000,47000,49000,46000,NA,0,0,3600000,1,performance
1784552332,2026-07-20T12:58:52Z,39000,39000,41000,38000,NA,0,0,3600000,1,performance
1784553844,2026-07-20T13:24:04Z,49000,46000,49000,46000,NA,0,0,3600000,1,performance
1784555826,2026-07-20T13:57:06Z,40000,38000,40000,36000,NA,0,0,3600000,1,performance
1784557338,2026-07-20T14:22:18Z,49000,47000,49000,45000,NA,0,0,3600000,1,performance
1784559419,2026-07-20T14:56:59Z,40000,39000,40000,38000,NA,0,0,3600000,1,performance
1784560932,2026-07-20T15:22:12Z,47000,46000,47000,46000,NA,0,0,3600000,1,performance
1784562431,2026-07-20T15:47:11Z,40000,37000,40000,37000,NA,0,0,3600000,1,performance
1784565383,2026-07-20T16:36:23Z,51000,47000,51000,47000,NA,0,0,3600000,1,performance
1784567500,2026-07-20T17:11:40Z,41000,38000,41000,38000,NA,0,0,3600000,1,performance
1784568994,2026-07-20T17:36:34Z,51000,47000,50000,46000,NA,0,0,3600000,1,performance
1784570477,2026-07-20T18:01:17Z,45000,43000,45000,41000,NA,0,0,3600000,1,performance
1784572513,2026-07-20T18:35:13Z,49000,47000,49000,47000,NA,0,0,3600000,1,performance
1784575183,2026-07-20T19:19:43Z,45000,42000,45000,41000,NA,0,0,3600000,1,performance
1784576814,2026-07-20T19:46:54Z,49000,48000,50000,48000,NA,0,0,3600000,1,performance
1784579246,2026-07-20T20:27:26Z,40000,38000,41000,38000,NA,0,0,3600000,1,performance
1784580801,2026-07-20T20:53:21Z,48000,48000,47000,46000,NA,0,0,3600000,1,performance
1784583761,2026-07-20T21:42:41Z,41000,41000,42000,40000,NA,0,0,3600000,1,performance
1784585262,2026-07-20T22:07:42Z,52000,49000,52000,48000,NA,0,0,3600000,1,performance
1784587203,2026-07-20T22:40:03Z,41000,38000,41000,37000,NA,0,0,3600000,1,performance
1784588712,2026-07-20T23:05:12Z,47000,46000,47000,44000,NA,0,0,3600000,1,performance
1784591286,2026-07-20T23:48:06Z,45000,44000,45000,41000,NA,0,0,3600000,1,performance
