ts_epoch,ts_iso,pkg_mC,core0_mC,core1_mC,core2_mC,core3_mC,core3_throttle,pkg_throttle,cpu3_freq_khz,no_turbo,gov_cpu3
1783923607,2026-07-13T06:20:07Z,49000,46000,49000,48000,NA,0,0,3600000,1,performance
1783926046,2026-07-13T07:00:46Z,46000,45000,46000,44000,NA,0,0,3600000,1,performance
1783927655,2026-07-13T07:27:35Z,48000,47000,48000,47000,NA,0,0,3600000,1,performance
1783929508,2026-07-13T07:58:28Z,43000,41000,43000,39000,NA,0,0,3600000,1,performance
1783931114,2026-07-13T08:25:14Z,48000,48000,50000,46000,NA,0,0,3600000,1,performance
1783932968,2026-07-13T08:56:08Z,42000,40000,44000,38000,NA,0,0,3600000,1,performance
1783934579,2026-07-13T09:22:59Z,50000,48000,50000,46000,NA,0,0,3600000,1,performance
1783936434,2026-07-13T09:53:54Z,43000,42000,44000,39000,NA,0,0,3600000,1,performance
1783938050,2026-07-13T10:20:50Z,48000,46000,48000,46000,NA,0,0,3600000,1,performance
1783984070,2026-07-13T23:07:50Z,48000,46000,47000,44000,NA,0,0,3600000,1,performance
1783985925,2026-07-13T23:38:45Z,50000,48000,50000,47000,NA,0,0,3600000,1,performance
