ts_epoch,ts_iso,pkg_mC,core0_mC,core1_mC,core2_mC,core3_mC,core3_throttle,pkg_throttle,cpu3_freq_khz,no_turbo,gov_cpu3
1785025297,2026-07-26T00:21:37Z,51000,51000,51000,49000,NA,0,0,3600000,1,performance
1785027487,2026-07-26T00:58:07Z,44000,44000,43000,42000,NA,0,0,3600000,1,performance
1785029098,2026-07-26T01:24:58Z,53000,51000,53000,49000,NA,0,0,3600000,1,performance
1785031466,2026-07-26T02:04:26Z,41000,39000,42000,39000,NA,0,0,3600000,1,performance
1785033145,2026-07-26T02:32:25Z,48000,48000,48000,45000,NA,0,0,3600000,1,performance
1785035040,2026-07-26T03:04:00Z,41000,40000,41000,38000,NA,0,0,3600000,1,performance
1785036587,2026-07-26T03:29:47Z,50000,47000,49000,46000,NA,0,0,3600000,1,performance
1785048889,2026-07-26T06:54:49Z,41000,41000,41000,38000,NA,0,0,3600000,1,performance
1785050261,2026-07-26T07:17:41Z,41000,41000,41000,38000,NA,0,0,3600000,1,performance
1785051785,2026-07-26T07:43:05Z,49000,46000,48000,46000,NA,0,0,3600000,1,performance
1785054063,2026-07-26T08:21:03Z,44000,40000,43000,40000,NA,0,0,3600000,1,performance
1785055615,2026-07-26T08:46:55Z,48000,47000,48000,47000,NA,0,0,3600000,1,performance
1785057605,2026-07-26T09:20:05Z,40000,37000,40000,37000,NA,0,0,3600000,1,performance
1785059096,2026-07-26T09:44:56Z,45000,45000,45000,44000,NA,0,0,3600000,1,performance
1785060746,2026-07-26T10:12:26Z,40000,39000,40000,38000,NA,0,0,3600000,1,performance
1785062239,2026-07-26T10:37:19Z,48000,45000,47000,45000,NA,0,0,3600000,1,performance
1785064516,2026-07-26T11:15:16Z,40000,39000,40000,37000,NA,0,0,3600000,1,performance
1785066002,2026-07-26T11:40:02Z,48000,46000,48000,45000,NA,0,0,3600000,1,performance
1785068296,2026-07-26T12:18:16Z,41000,39000,42000,39000,NA,0,0,3600000,1,performance
1785069775,2026-07-26T12:42:55Z,48000,46000,47000,43000,NA,0,0,3600000,1,performance
1785072036,2026-07-26T13:20:36Z,40000,38000,41000,37000,NA,0,0,3600000,1,performance
1785073512,2026-07-26T13:45:12Z,47000,47000,47000,45000,NA,0,0,3600000,1,performance
1785099956,2026-07-26T21:05:56Z,39000,38000,39000,36000,NA,0,0,3600000,1,performance
1785102103,2026-07-26T21:41:43Z,41000,39000,41000,38000,NA,0,0,3600000,1,performance
1785103582,2026-07-26T22:06:22Z,47000,46000,47000,45000,NA,0,0,3600000,1,performance
1785105355,2026-07-26T22:35:55Z,39000,39000,39000,37000,NA,0,0,3600000,1,performance
1785106831,2026-07-26T23:00:31Z,50000,47000,50000,47000,NA,0,0,3600000,1,performance
1785109263,2026-07-26T23:41:03Z,41000,37000,41000,36000,NA,0,0,3600000,1,performance
