ts_epoch,ts_iso,pkg_mC,core0_mC,core1_mC,core2_mC,core3_mC,core3_throttle,pkg_throttle,cpu3_freq_khz,no_turbo,gov_cpu3
1783987499,2026-07-14T00:04:59Z,49000,47000,49000,45000,NA,0,0,3600000,1,performance
1783989337,2026-07-14T00:35:37Z,37000,36000,38000,36000,NA,0,0,3600000,1,performance
1783996841,2026-07-14T02:40:41Z,47000,46000,47000,44000,NA,0,0,3600000,1,performance
1784004944,2026-07-14T04:55:44Z,45000,44000,44000,41000,NA,0,0,3600000,1,performance
1784007285,2026-07-14T05:34:45Z,48000,46000,48000,45000,NA,0,0,3600000,1,performance
1784013608,2026-07-14T07:20:08Z,45000,43000,45000,41000,NA,0,0,3600000,1,performance
