ts_epoch,ts_iso,pkg_mC,core0_mC,core1_mC,core2_mC,core3_mC,core3_throttle,pkg_throttle,cpu3_freq_khz,no_turbo,gov_cpu3
1784679142,2026-07-22T00:12:22Z,41000,39000,41000,38000,NA,0,0,3600000,1,performance
1784680697,2026-07-22T00:38:17Z,48000,46000,49000,46000,NA,0,0,3600000,1,performance
1784682749,2026-07-22T01:12:29Z,45000,45000,46000,44000,NA,0,0,3600000,1,performance
1784684627,2026-07-22T01:43:47Z,48000,48000,48000,47000,NA,0,0,3600000,1,performance
1784686539,2026-07-22T02:15:39Z,42000,43000,43000,39000,NA,0,0,3600000,1,performance
1784688073,2026-07-22T02:41:13Z,50000,46000,49000,46000,NA,0,0,3600000,1,performance
1784689956,2026-07-22T03:12:36Z,40000,40000,41000,37000,NA,0,0,3600000,1,performance
1784691491,2026-07-22T03:38:11Z,48000,48000,49000,46000,NA,0,0,3600000,1,performance
1784692999,2026-07-22T04:03:19Z,40000,40000,40000,38000,NA,0,0,3600000,1,performance
1784694516,2026-07-22T04:28:36Z,49000,47000,49000,46000,NA,0,0,3600000,1,performance
1784695733,2026-07-22T04:48:53Z,39000,39000,40000,37000,NA,0,0,3600000,1,performance
1784697244,2026-07-22T05:14:04Z,53000,48000,54000,46000,NA,0,0,3600000,1,performance
1784698462,2026-07-22T05:34:22Z,39000,38000,38000,38000,NA,0,0,3600000,1,performance
1784699990,2026-07-22T05:59:50Z,44000,44000,44000,43000,NA,0,0,3600000,1,performance
1784702079,2026-07-22T06:34:39Z,41000,41000,40000,38000,NA,0,0,3600000,1,performance
1784703602,2026-07-22T07:00:02Z,47000,47000,47000,45000,NA,0,0,3600000,1,performance
1784706050,2026-07-22T07:40:50Z,41000,41000,42000,38000,NA,0,0,3600000,1,performance
1784707577,2026-07-22T08:06:17Z,45000,45000,46000,45000,NA,0,0,3600000,1,performance
1784708823,2026-07-22T08:27:03Z,42000,40000,42000,39000,NA,0,0,3600000,1,performance
1784710352,2026-07-22T08:52:32Z,48000,47000,48000,45000,NA,0,0,3600000,1,performance
1784711669,2026-07-22T09:14:29Z,42000,39000,42000,38000,NA,0,0,3600000,1,performance
1784713199,2026-07-22T09:39:59Z,47000,46000,46000,46000,NA,0,0,3600000,1,performance
1784715004,2026-07-22T10:10:04Z,40000,40000,40000,39000,NA,0,0,3600000,1,performance
1784716504,2026-07-22T10:35:04Z,48000,46000,49000,45000,NA,0,0,3600000,1,performance
1784717809,2026-07-22T10:56:49Z,38000,37000,38000,37000,NA,0,0,3600000,1,performance
1784719308,2026-07-22T11:21:48Z,47000,46000,47000,46000,NA,0,0,3600000,1,performance
1784720441,2026-07-22T11:40:41Z,39000,39000,39000,37000,NA,0,0,3600000,1,performance
1784721940,2026-07-22T12:05:40Z,47000,46000,46000,45000,NA,0,0,3600000,1,performance
1784723389,2026-07-22T12:29:49Z,38000,38000,37000,35000,NA,0,0,3600000,1,performance
1784724887,2026-07-22T12:54:47Z,48000,46000,48000,44000,NA,0,0,3600000,1,performance
1784726038,2026-07-22T13:13:58Z,39000,38000,40000,38000,NA,0,0,3600000,1,performance
1784727537,2026-07-22T13:38:57Z,48000,46000,48000,43000,NA,0,0,3600000,1,performance
1784729032,2026-07-22T14:03:52Z,39000,37000,38000,36000,NA,0,0,3600000,1,performance
1784730532,2026-07-22T14:28:52Z,47000,45000,47000,45000,NA,0,0,3600000,1,performance
1784731682,2026-07-22T14:48:02Z,38000,37000,38000,35000,NA,0,0,3600000,1,performance
1784733894,2026-07-22T15:24:54Z,49000,48000,48000,47000,NA,0,0,3600000,1,performance
1784735052,2026-07-22T15:44:12Z,39000,39000,40000,36000,NA,0,0,3600000,1,performance
1784744940,2026-07-22T18:29:00Z,48000,48000,47000,44000,NA,0,0,3600000,1,performance
1784746636,2026-07-22T18:57:16Z,41000,41000,42000,38000,NA,0,0,3600000,1,performance
1784748242,2026-07-22T19:24:02Z,49000,49000,49000,47000,NA,0,0,3600000,1,performance
1784749530,2026-07-22T19:45:30Z,44000,41000,44000,40000,NA,0,0,3600000,1,performance
1784751135,2026-07-22T20:12:15Z,50000,47000,50000,46000,NA,0,0,3600000,1,performance
1784753215,2026-07-22T20:46:55Z,41000,39000,41000,38000,NA,0,0,3600000,1,performance
1784754687,2026-07-22T21:11:27Z,50000,47000,50000,46000,NA,0,0,3600000,1,performance
1784755957,2026-07-22T21:32:37Z,40000,38000,40000,38000,NA,0,0,3600000,1,performance
1784757432,2026-07-22T21:57:12Z,52000,51000,52000,49000,NA,0,0,3600000,1,performance
1784758995,2026-07-22T22:23:15Z,40000,39000,41000,38000,NA,0,0,3600000,1,performance
1784760506,2026-07-22T22:48:26Z,48000,47000,48000,45000,NA,0,0,3600000,1,performance
1784761612,2026-07-22T23:06:52Z,40000,39000,40000,38000,NA,0,0,3600000,1,performance
1784763123,2026-07-22T23:32:03Z,48000,47000,48000,47000,NA,0,0,3600000,1,performance
