ts_epoch,ts_iso,pkg_mC,core0_mC,core1_mC,core2_mC,core3_mC,core3_throttle,pkg_throttle,cpu3_freq_khz,no_turbo,gov_cpu3
1781501683,2026-06-15T05:34:43Z,47000,46000,46000,44000,NA,0,0,3600000,1,performance
1781501684,2026-06-15T05:34:44Z,47000,43000,45000,42000,NA,0,0,3600000,1,performance
1781501685,2026-06-15T05:34:45Z,48000,43000,45000,43000,NA,0,0,3600000,1,performance
1781501686,2026-06-15T05:34:46Z,48000,43000,46000,42000,NA,0,0,3600000,1,performance
1781501687,2026-06-15T05:34:47Z,50000,44000,45000,41000,NA,0,0,3600000,1,performance
1781501688,2026-06-15T05:34:48Z,48000,43000,45000,43000,NA,0,0,3600000,1,performance
1781501689,2026-06-15T05:34:49Z,48000,43000,45000,41000,NA,0,0,3600000,1,performance
1781501690,2026-06-15T05:34:50Z,48000,45000,43000,42000,NA,0,0,3600000,1,performance
1781501691,2026-06-15T05:34:51Z,48000,43000,45000,41000,NA,0,0,3600000,1,performance
1781501692,2026-06-15T05:34:52Z,47000,42000,44000,41000,NA,0,0,3600000,1,performance
1781501693,2026-06-15T05:34:53Z,49000,43000,45000,43000,NA,0,0,3600000,1,performance
1781501694,2026-06-15T05:34:54Z,48000,43000,45000,42000,NA,0,0,3600000,1,performance
1781501695,2026-06-15T05:34:55Z,48000,44000,45000,42000,NA,0,0,3600000,1,performance
1781501696,2026-06-15T05:34:56Z,48000,42000,45000,45000,NA,0,0,3600000,1,performance
1781501697,2026-06-15T05:34:57Z,49000,43000,45000,42000,NA,0,0,3600000,1,performance
1781501698,2026-06-15T05:34:58Z,49000,46000,45000,42000,NA,0,0,3600000,1,performance
1781501699,2026-06-15T05:34:59Z,49000,45000,47000,43000,NA,0,0,3600000,1,performance
1781501700,2026-06-15T05:35:00Z,49000,45000,46000,43000,NA,0,0,3600000,1,performance
1781501701,2026-06-15T05:35:01Z,49000,44000,46000,42000,NA,0,0,3600000,1,performance
1781501702,2026-06-15T05:35:02Z,49000,43000,46000,42000,NA,0,0,3600000,1,performance
1781501703,2026-06-15T05:35:03Z,49000,48000,46000,44000,NA,0,0,3600000,1,performance
1781501704,2026-06-15T05:35:04Z,49000,44000,44000,42000,NA,0,0,3600000,1,performance
1781501705,2026-06-15T05:35:05Z,49000,45000,45000,42000,NA,0,0,3600000,1,performance
1781501706,2026-06-15T05:35:06Z,49000,44000,45000,43000,NA,0,0,3600000,1,performance
1781501707,2026-06-15T05:35:07Z,49000,44000,46000,44000,NA,0,0,3600000,1,performance
1781501708,2026-06-15T05:35:08Z,49000,43000,46000,43000,NA,0,0,3600000,1,performance
1781501709,2026-06-15T05:35:09Z,50000,45000,49000,43000,NA,0,0,3600000,1,performance
1781501710,2026-06-15T05:35:10Z,49000,44000,45000,42000,NA,0,0,3600000,1,performance
1781501711,2026-06-15T05:35:11Z,49000,43000,46000,42000,NA,0,0,3600000,1,performance
1781501712,2026-06-15T05:35:12Z,49000,44000,46000,43000,NA,0,0,3600000,1,performance
1781501713,2026-06-15T05:35:13Z,47000,47000,46000,44000,NA,0,0,3600000,1,performance
