ts_epoch,ts_iso,pkg_mC,core0_mC,core1_mC,core2_mC,core3_mC,core3_throttle,pkg_throttle,cpu3_freq_khz,no_turbo,gov_cpu3
1781409411,2026-06-14T03:56:51Z,43000,41000,44000,40000,NA,0,0,3600000,1,performance
1781409412,2026-06-14T03:56:52Z,44000,40000,41000,39000,NA,0,0,3600000,1,performance
1781409413,2026-06-14T03:56:53Z,44000,40000,42000,40000,NA,0,0,3600000,1,performance
1781409414,2026-06-14T03:56:54Z,44000,41000,42000,39000,NA,0,0,3600000,1,performance
1781409415,2026-06-14T03:56:55Z,41000,39000,41000,39000,NA,0,0,3600000,1,performance
1781409416,2026-06-14T03:56:56Z,47000,40000,43000,39000,NA,0,0,3600000,1,performance
1781409417,2026-06-14T03:56:57Z,47000,41000,43000,39000,NA,0,0,3600000,1,performance
1781409418,2026-06-14T03:56:58Z,47000,40000,43000,39000,NA,0,0,3600000,1,performance
1781409419,2026-06-14T03:56:59Z,48000,39000,42000,39000,NA,0,0,3600000,1,performance
1781409421,2026-06-14T03:57:01Z,47000,40000,42000,39000,NA,0,0,3600000,1,performance
1781409422,2026-06-14T03:57:02Z,41000,40000,41000,39000,NA,0,0,3600000,1,performance
1781409423,2026-06-14T03:57:03Z,43000,41000,44000,40000,NA,0,0,3600000,1,performance
1781409424,2026-06-14T03:57:04Z,46000,40000,42000,39000,NA,0,0,3600000,1,performance
1781409425,2026-06-14T03:57:05Z,47000,40000,42000,39000,NA,0,0,3600000,1,performance
1781409426,2026-06-14T03:57:06Z,45000,39000,42000,39000,NA,0,0,3600000,1,performance
1781409427,2026-06-14T03:57:07Z,48000,44000,43000,41000,NA,0,0,3600000,1,performance
1781409428,2026-06-14T03:57:08Z,47000,41000,43000,39000,NA,0,0,3600000,1,performance
1781409429,2026-06-14T03:57:09Z,42000,40000,43000,40000,NA,0,0,3600000,1,performance
