ts_epoch,ts_iso,pkg_mC,core0_mC,core1_mC,core2_mC,core3_mC,core3_throttle,pkg_throttle,cpu3_freq_khz,no_turbo,gov_cpu3
1781211924,2026-06-11T21:05:24Z,52000,50000,52000,48000,48000,0,0,3599998,1,performance
1781211925,2026-06-11T21:05:25Z,52000,50000,51000,49000,52000,0,0,3599999,1,performance
1781211926,2026-06-11T21:05:26Z,54000,52000,53000,49000,54000,0,0,3599997,1,performance
1781211927,2026-06-11T21:05:28Z,54000,53000,53000,49000,54000,0,0,3600000,1,performance
1781211929,2026-06-11T21:05:29Z,56000,50000,52000,49000,55000,0,0,3600001,1,performance
1781211930,2026-06-11T21:05:30Z,54000,50000,52000,49000,54000,0,0,3600003,1,performance
1781211931,2026-06-11T21:05:31Z,54000,52000,51000,49000,54000,0,0,3599995,1,performance
1781211932,2026-06-11T21:05:32Z,56000,55000,54000,50000,56000,0,0,3600002,1,performance
1781211933,2026-06-11T21:05:33Z,56000,52000,53000,50000,55000,0,0,3600000,1,performance
1781211934,2026-06-11T21:05:34Z,51000,51000,50000,50000,49000,0,0,3600023,1,performance
