ts_epoch,ts_iso,pkg_mC,core0_mC,core1_mC,core2_mC,core3_mC,core3_throttle,pkg_throttle,cpu3_freq_khz,no_turbo,gov_cpu3
1785958407,2026-08-05T19:33:27Z,49000,46000,49000,44000,NA,0,0,3600000,1,performance
1785958410,2026-08-05T19:33:30Z,46000,46000,46000,44000,NA,0,0,3600000,1,performance
1785958410,2026-08-05T19:33:30Z,46000,46000,46000,44000,NA,0,0,3600000,1,performance
1785958421,2026-08-05T19:33:41Z,46000,46000,46000,44000,NA,0,0,3600000,1,performance
1785958492,2026-08-05T19:34:52Z,47000,46000,48000,45000,NA,0,0,3600000,1,performance
1785958510,2026-08-05T19:35:10Z,48000,46000,48000,45000,NA,0,0,3600000,1,performance
1785958510,2026-08-05T19:35:10Z,48000,46000,48000,45000,NA,0,0,3600000,1,performance
1785958523,2026-08-05T19:35:23Z,48000,47000,48000,44000,NA,0,0,3600000,1,performance
1785958616,2026-08-05T19:36:56Z,46000,46000,46000,44000,NA,0,0,3600000,1,performance
1785958621,2026-08-05T19:37:01Z,47000,47000,48000,45000,NA,0,0,3600000,1,performance
1785958621,2026-08-05T19:37:01Z,47000,47000,48000,45000,NA,0,0,3600000,1,performance
1785958647,2026-08-05T19:37:27Z,46000,44000,46000,42000,NA,0,0,3600000,1,performance
1785958648,2026-08-05T19:37:28Z,46000,44000,46000,42000,NA,0,0,3600000,1,performance
1785958669,2026-08-05T19:37:49Z,46000,46000,48000,44000,NA,0,0,3600000,1,performance
1785958910,2026-08-05T19:41:50Z,46000,45000,46000,42000,NA,0,0,3600000,1,performance
1785958910,2026-08-05T19:41:50Z,46000,45000,46000,42000,NA,0,0,3600000,1,performance
1785959523,2026-08-05T19:52:03Z,46000,45000,46000,44000,NA,0,0,3600000,1,performance
1785959526,2026-08-05T19:52:06Z,46000,46000,46000,44000,NA,0,0,3600000,1,performance
1785959526,2026-08-05T19:52:06Z,46000,46000,46000,44000,NA,0,0,3600000,1,performance
1785959539,2026-08-05T19:52:19Z,48000,46000,48000,44000,NA,0,0,3600000,1,performance
1785959588,2026-08-05T19:53:08Z,46000,44000,46000,42000,NA,0,0,3600000,1,performance
1785959600,2026-08-05T19:53:20Z,45000,45000,46000,42000,NA,0,0,3600000,1,performance
1785959605,2026-08-05T19:53:25Z,47000,46000,46000,43000,NA,0,0,3600000,1,performance
1785959606,2026-08-05T19:53:26Z,46000,43000,46000,42000,NA,0,0,3600000,1,performance
1785959607,2026-08-05T19:53:27Z,46000,43000,46000,42000,NA,0,0,3600000,1,performance
1785959619,2026-08-05T19:53:39Z,45000,44000,46000,42000,NA,0,0,3600000,1,performance
